idx,original_idx,sentenceId,text,start_ms_trimmed,end_ms_trimmed,duration_ms,exp_end_ms,obs_end_ms,drift_ms,drift_jump_ms,silence_width_ms,rms_db_at_end,contrast_db,confidence,weight
95,106,P0003_L0024_S0056,इत्यथर्व॑णवा॒क्यम्।,371200.0,375600.0,4400.0,389319.891,375600.0,-13719.891,1203.922,544.0,-28.1728,-1.9383,0.498048,98.68794
96,107,P0003_L0025_S0057,ब्रह्माद्यावर॑णं वि॒द्यान्न बिभेति कदा॑चने॒ति॥,375600.0,380400.0,4800.0,396804.72,380400.0,-16404.72,-2684.828,624.0,-28.2343,-7.1043,0.507665,231.1152
97,109,P0003_L0026_S0059,यो दूर्वाङ्कु॑रैर्य॒जति स वैश्रवणोप॑मो भ॒वति।,380400.0,386400.0,6000.0,402528.725,386400.0,-16128.725,275.995,560.0,-24.1528,-14.6997,0.407968,176.744808
98,110,P0003_L0027_S0060,यो ला॑जैर्य॒जति स यशो॑वान्भ॒वति।,386400.0,394400.0,8000.0,407423.634,394400.0,-13023.634,3105.091,592.0,-23.6094,-10.7592,0.440791,151.14414
99,111,P0003_L0027_S0061,स मेधा॑वान्भ॒वति।,394400.0,399600.0,5200.0,410109.722,399600.0,-10509.722,2513.912,544.0,-28.885,-3.0731,0.49654,82.94055
100,112,P0004_L0001_S0001,यो मोदकसहस्रे॑ण य॒जति स वाञ्छितफलम॑वाप्नो॒ति।,399600.0,405200.0,5600.0,417464.861,405200.0,-12264.861,-1755.138,544.0,-28.1243,-7.692,0.465569,227.110656
101,113,P0004_L0002_S0002,यः साज्य समि॑द्भिर्य॒जति स सर्वं लभते स स॑र्वं ल॒भते॥,405200.0,408400.0,3200.0,426110.731,408400.0,-17710.731,-5445.87,544.0,-27.7869,-2.7536,0.490861,266.96565
102,115,P0004_L0003_S0004,अष्टौ ब्राह्मणान्सम्यग्ग्रा॑हयि॒त्वा सूर्यवर्च॑स्वी भ॒वति।,408400.0,415200.0,6800.0,434032.751,415200.0,-18832.751,-1122.02,624.0,-24.3723,-14.9972,0.437554,244.61472
103,116,P0004_L0004_S0005,सूर्यग्रहे म॑हान॒द्यां प्रतिमासन्निधौ वा ज॒प्त्वा सिद्धम॑न्त्रो भ॒वति।,415200.0,421600.0,6400.0,442457.869,421600.0,-20857.869,-2025.118,576.0,-23.7135,-12.5484,0.424172,260.149303
104,117,P0004_L0005_S0006,महाविघ्ना᳚त्प्रमु॒च्यते।,421600.0,426400.0,4800.0,445843.13,426400.0,-19443.13,1414.739,528.0,-21.6613,-14.5693,0.377961,104.52948
105,118,P0004_L0005_S0007,महादोषा᳚त्प्रमु॒च्यते।,426400.0,429280.0,2880.0,449177.531,429280.0,-19897.531,-454.401,528.0,-28.4862,2.4834,0.517298,102.95904
106,119,P0004_L0005_S0008,महापापा᳚त्प्रमु॒च्यते।,429280.0,436000.0,6720.0,452511.977,436000.0,-16511.977,3385.554,592.0,-27.9197,-7.5696,0.487679,102.96042
107,120,P0004_L0006_S0009,महाप्रत्यवाया᳚त्प्रमु॒च्यते।,436000.0,442800.0,6800.0,456617.319,442800.0,-13817.319,2694.657,592.0,-29.9094,-2.4911,0.529598,126.76404
108,121,P0004_L0006_S0010,स सर्वविद्भवति स सर्व॑विद्भ॒वति।,442800.0,450800.0,8000.0,460887.995,450800.0,-10087.995,3729.325,544.0,-26.2607,-12.238,0.427904,131.869155
109,122,P0004_L0007_S0011,य ए॑वं वे॒द।,450800.0,453200.0,2400.0,462192.228,453200.0,-8992.228,1095.767,0.0,-16.1397,-2.7,0.199586,40.27188
110,123,P0004_L0007_S0012,इत्यु॑प॒निष॑त्॥,453200.0,459232.0,6032.0,465241.581,459232.0,-6009.581,2982.646,592.0,-29.3243,3.9736,0.561522,94.1574
111,125,P0004_L0008_S0014,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥,459232.0,467264.0,8032.0,470386.59,467264.0,-3122.59,2886.991,480.0,-26.7667,3.5185,0.488538,158.866669
112,126,P0004_L0009_S0015,ॐ स॒ह ना॑ववतु।,467264.0,471232.0,3968.0,472633.356,471232.0,-1401.356,1721.234,496.0,-27.3554,3.8958,0.502274,69.37524
113,127,P0004_L0009_S0016,स॒ह नौ॑ भुनक्तु।,471232.0,476000.0,4768.0,474491.917,476000.0,1508.083,2909.439,480.0,-25.2425,-2.6457,0.443907,57.38832
114,128,P0004_L0010_S0017,स॒ह वी॒र्यं॑ करवावहै।,476000.0,480112.0,4112.0,477175.879,480112.0,2936.121,1428.039,448.0,-26.7158,3.8544,0.474846,82.87488
115,129,P0004_L0011_S0018,ते॒ज॒स्विना॒वधी॑तमस्तु॒ मा वि॑द्विषा॒वहै᳚।,480112.0,487200.0,7088.0,482614.893,487200.0,4585.107,1648.986,496.0,-25.7978,-3.9257,0.448093,167.94492
116,130,P0004_L0012_S0019,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥,487200.0,492000.0,4800.0,487759.902,492000.0,4240.098,-345.009,560.0,-22.4179,-14.5762,0.397283,158.866669
117,131,P0004_L0013_S0020,ॐ भ॒द्रं कर्णे॑भिः श‍ृणु॒याम॑ देवाः।,492000.0,497360.0,5360.0,492134.937,497360.0,5225.063,984.965,576.0,-30.1679,4.074,0.560218,135.091548
118,132,P0004_L0013_S0021,भ॒द्रं प॑श्येमा॒क्षभि॒र्यज॑त्राः।,497360.0,501200.0,3840.0,495948.707,501200.0,5251.293,26.23,544.0,-29.9536,-0.3391,0.5191,117.76092
119,133,P0004_L0014_S0022,स्थि॒रैरङ्गै᳚स्तुष्टु॒वाꣳ स॑स्त॒नूभिः॑।,501200.0,505200.0,4000.0,500664.055,505200.0,4535.945,-715.347,496.0,-26.1021,-0.3411,0.470073,145.59966
120,134,P0004_L0014_S0023,व्यशे॑म दे॒वहि॑तं॒ यदायुः॑।,505200.0,510400.0,5200.0,504161.001,510400.0,6238.999,1703.053,0.0,-17.1901,1.8587,0.221275,107.9781
121,135,P0004_L0015_S0024,स्व॒स्ति न॒ इन्द्रो॑ वृ॒द्धश्र॑वाः।,510400.0,514016.0,3616.0,507878.504,514016.0,6137.496,-101.503,544.0,-28.0344,3.1162,0.525375,114.7884
122,136,P0004_L0015_S0025,स्व॒स्ति नः॑ पू॒षा वि॒श्ववे॑दाः।,514016.0,517807.969,3791.969,511702.196,517807.969,6105.773,-31.723,544.0,-29.7236,3.9154,0.541263,118.06728
123,137,P0004_L0016_S0026,स्व॒स्ति न॒स्तार्क्ष्यो॒ अरि॑ष्टनेमिः।,517807.969,523600.0,5792.031,516221.702,523600.0,7378.298,1272.525,2063.999,-34.3706,0.2805,0.957185,139.5525
