idx,sentenceId,text,start_ms_trimmed,end_ms_trimmed,duration_ms,exp_end_ms,obs_end_ms,drift_ms,drift_jump_ms,silence_width_ms,rms_db_at_end,contrast_db,confidence,weight
95,P0003_L0018_S0045,सा॒यम॑धीया॒नो॒ दिवसकृतं पापं॑ नाश॒यति।,357200.0,360400.0,3200.0,313685.663,360400.0,46714.337,-2342.06,608.0,-29.9378,4.2603,0.642446,181.93113
96,P0003_L0018_S0046,प्रा॒तर॑धीया॒नो॒ रात्रिकृतं पापं॑ नाश॒यति।,360400.0,362800.0,2400.0,318868.183,362800.0,43931.817,-2782.52,0.0,-11.7821,-2.2965,0.280567,170.128395
97,P0003_L0019_S0047,सायं प्रातः प्र॑युञ्जा॒नो॒ पापोऽपा॑पो भ॒वति।,362800.0,366336.0,3536.0,324104.431,366336.0,42231.569,-1700.248,576.0,-29.5292,4.4861,0.629859,171.892128
98,P0003_L0019_S0048,सर्वत्राधीयानोऽपवि॑घ्नो भ॒वति।,366336.0,371200.0,4864.0,328443.943,371200.0,42756.057,524.489,560.0,-25.8523,-6.3825,0.541062,142.45464
99,P0003_L0020_S0049,धर्मार्थकाममोक्षं॑ च वि॒न्दति।,371200.0,373600.0,2400.0,332207.393,373600.0,41392.607,-1363.45,0.0,-15.5975,-2.5106,0.29739,123.54408
100,P0003_L0020_S0050,इदमथर्वशीर्षमशिष्याय॑ न दे॒यम्।,373600.0,375568.0,1968.0,336993.996,375568.0,38574.004,-2818.603,544.0,-28.5469,1.4224,0.595337,157.13148
101,P0003_L0021_S0051,यो यदि मो॑हाद् दा॒स्यति स पापी॑यान्भ॒वति।,375568.0,378000.0,2432.0,342709.24,378000.0,35290.76,-3283.244,0.0,-16.2257,6.6059,0.347723,187.61631
102,P0003_L0022_S0052,सहस्रावर्तनाद्यं यं काम॑मधी॒ते तं तमने॑न सा॒धयेत्॥,378000.0,380288.0,2288.0,351459.491,380288.0,28828.509,-6462.251,624.0,-29.7187,2.5839,0.637938,287.247525
103,P0003_L0022_S0053,११॥,380288.0,381200.0,912.0,351459.491,381200.0,29740.509,912.0,0.0,-10.2297,0.6821,0.287749,1e-06
104,P0003_L0023_S0054,अनेन गणपतिम॑भिषि॒ञ्चति स वा॑ग्मी भ॒वति।,381200.0,386400.0,5200.0,357232.449,386400.0,29167.551,-572.958,560.0,-24.1528,-14.6997,0.482126,189.510888
105,P0003_L0024_S0055,चतुर्थ्यामन॑श्नन्ज॒पति स विद्या॑वान्भ॒वति।,386400.0,394400.0,8000.0,363192.994,394400.0,31207.006,2039.455,592.0,-23.6094,-10.7592,0.515006,195.66888
106,P0003_L0024_S0056,इत्यथर्व॑णवा॒क्यम्।,394400.0,399536.0,5136.0,366199.266,399536.0,33336.734,2129.728,544.0,-29.1598,4.0909,0.613816,98.68794
107,P0003_L0025_S0057,ब्रह्माद्यावर॑णं वि॒द्यान्न बिभेति कदा॑चने॒ति॥,399536.0,402672.0,3136.0,373239.591,402672.0,29432.409,-3904.325,304.0,-19.7017,1.657,0.453087,231.1152
108,P0003_L0025_S0058,१२॥,402672.0,403600.0,928.0,373239.591,403600.0,30360.409,928.0,0.0,-10.2237,3.6832,0.302536,1e-06
109,P0003_L0026_S0059,यो दूर्वाङ्कु॑रैर्य॒जति स वैश्रवणोप॑मो भ॒वति।,403600.0,405200.0,1600.0,378623.664,405200.0,26576.336,-3784.072,544.0,-28.1243,-7.692,0.539944,176.744808
110,P0003_L0027_S0060,यो ला॑जैर्य॒जति स यशो॑वान्भ॒वति।,405200.0,408352.0,3152.0,383227.878,408352.0,25124.122,-1452.214,544.0,-28.2766,2.5142,0.600087,151.14414
111,P0003_L0027_S0061,स मेधा॑वान्भ॒वति।,408352.0,414992.0,6640.0,385754.447,414992.0,29237.553,4113.431,624.0,-29.4377,4.4162,0.646459,82.94055
112,P0004_L0001_S0001,यो मोदकसहस्रे॑ण य॒जति स वाञ्छितफलम॑वाप्नो॒ति।,414992.0,421600.0,6608.0,392672.784,421600.0,28927.216,-310.337,576.0,-23.7135,-12.5484,0.498683,227.110656
113,P0004_L0002_S0002,यः साज्य समि॑द्भिर्य॒जति स सर्वं लभते स स॑र्वं ल॒भते॥,421600.0,435888.0,14288.0,400805.2,435888.0,35082.8,6155.584,592.0,-29.879,3.5885,0.632625,266.96565
114,P0004_L0002_S0003,१३॥,435888.0,436800.0,912.0,400805.2,436800.0,35994.8,912.0,0.0,-8.9175,2.2679,0.289335,1e-06
115,P0004_L0003_S0004,अष्टौ ब्राह्मणान्सम्यग्ग्रा॑हयि॒त्वा सूर्यवर्च॑स्वी भ॒वति।,436800.0,442736.0,5936.0,408256.753,442736.0,34479.247,-1515.553,592.0,-29.6918,4.501,0.636657,244.61472
116,P0004_L0004_S0005,सूर्यग्रहे म॑हान॒द्यां प्रतिमासन्निधौ वा ज॒प्त्वा सिद्धम॑न्त्रो भ॒वति।,442736.0,450800.0,8064.0,416181.527,450800.0,34618.473,139.226,544.0,-26.2607,-12.238,0.502435,260.149303
117,P0004_L0005_S0006,महाविघ्ना᳚त्प्रमु॒च्यते।,450800.0,459232.0,8432.0,419365.747,459232.0,39866.253,5247.78,592.0,-29.3243,3.9736,0.63181,104.52948
118,P0004_L0005_S0007,महादोषा᳚त्प्रमु॒च्यते।,459232.0,463296.0,4064.0,422502.127,463296.0,40793.873,927.62,496.0,-26.3777,4.7089,0.583944,102.95904
119,P0004_L0005_S0008,महापापा᳚त्प्रमु॒च्यते।,463296.0,467264.0,3968.0,425638.549,467264.0,41625.451,831.578,480.0,-26.7667,3.5185,0.573069,102.96042
120,P0004_L0006_S0009,महाप्रत्यवाया᳚त्प्रमु॒च्यते।,467264.0,471200.0,3936.0,429500.087,471200.0,41699.913,74.462,496.0,-26.5976,7.7428,0.602527,126.76404
121,P0004_L0006_S0010,स सर्वविद्भवति स सर्व॑विद्भ॒वति।,471200.0,476000.0,4800.0,433517.139,476000.0,42482.861,782.948,480.0,-25.2425,-2.6457,0.528304,131.869155
122,P0004_L0007_S0011,य ए॑वं वे॒द।,476000.0,477200.0,1200.0,434743.917,477200.0,42456.083,-26.778,0.0,-16.1221,-0.4331,0.310348,40.27188
123,P0004_L0007_S0012,इत्यु॑प॒निष॑त्॥,477200.0,479200.0,2000.0,437612.178,479200.0,41587.822,-868.261,0.0,-10.0342,-3.1931,0.268396,94.1574
124,P0004_L0007_S0013,१४॥,479200.0,480112.0,912.0,437612.178,480112.0,42499.822,912.0,448.0,-26.7158,3.8544,0.562366,1e-06
125,P0004_L0008_S0014,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥,480112.0,482544.0,2432.0,442451.639,482544.0,40092.361,-2407.461,448.0,-25.3976,3.3248,0.55185,158.866669
