idx,mapping_original_idx,sentenceId,start_ms_trimmed,end_ms_trimmed,duration_ms,weight,confidence,text
78,87,P0003_L0014_S0037,264800.0,269600.0,4800.0,68.1012,0.467117,नमः प्रमथपतये।
79,88,P0003_L0015_S0038,269600.0,274944.0,5344.0,431.4177,0.566949,नमस्तेऽस्तु लम्बोदरायैकदन्ताय विघ्नविनाशिने शिवसुताय श्रीवरदमूर्तये॒ नमः॑॥
80,90,P0003_L0016_S0040,274944.0,280816.0,5872.0,110.12123999999999,0.574471,एतदथर्वशीर्षं॑ योऽधी॒ते।
81,91,P0003_L0016_S0041,280816.0,286784.0,5968.0,94.77996,0.521536,स ब्रह्मभूया॑य क॒ल्पते।
82,92,P0003_L0016_S0042,286784.0,288800.0,2016.0,94.11864000000001,0.219948,स सर्वविघ्नै᳚र्न बा॒ध्यते।
83,93,P0003_L0017_S0043,288800.0,293200.0,4400.0,86.15754,0.489562,स सर्वतः सुख॑मेध॒ते।
84,94,P0003_L0017_S0044,293200.0,298800.0,5600.0,122.85830999999997,0.47724,स पञ्चमहापापा᳚त्प्रमु॒च्यते।
85,95,P0003_L0018_S0045,298800.0,305680.0,6880.0,181.93113000000002,0.588398,सा॒यम॑धीया॒नो॒ दिवसकृतं पापं॑ नाश॒यति।
86,96,P0003_L0018_S0046,305680.0,312032.0,6352.0,170.12839499999998,0.518734,प्रा॒तर॑धीया॒नो॒ रात्रिकृतं पापं॑ नाश॒यति।
87,97,P0003_L0019_S0047,312032.0,329200.0,17168.0,171.892128,0.538249,सायं प्रातः प्र॑युञ्जा॒नो॒ पापोऽपा॑पो भ॒वति।
88,98,P0003_L0019_S0048,329200.0,336400.0,7200.0,142.45463999999998,0.521901,सर्वत्राधीयानोऽपवि॑घ्नो भ॒वति।
89,99,P0003_L0020_S0049,336400.0,340832.0,4432.0,123.54408,0.512038,धर्मार्थकाममोक्षं॑ च वि॒न्दति।
90,100,P0003_L0020_S0050,340832.0,349200.0,8368.0,157.13148,0.425643,इदमथर्वशीर्षमशिष्याय॑ न दे॒यम्।
91,101,P0003_L0021_S0051,349200.0,354800.0,5600.0,187.61631,0.519967,यो यदि मो॑हाद् दा॒स्यति स पापी॑यान्भ॒वति।
92,102,P0003_L0022_S0052,354800.0,360400.0,5600.0,287.24752499999994,0.564118,सहस्रावर्तनाद्यं यं काम॑मधी॒ते तं तमने॑न सा॒धयेत्॥
93,104,P0003_L0023_S0054,360400.0,366400.0,6000.0,189.51088800000002,0.500941,अनेन गणपतिम॑भिषि॒ञ्चति स वा॑ग्मी भ॒वति।
94,105,P0003_L0024_S0055,366400.0,371200.0,4800.0,195.66888000000003,0.454332,चतुर्थ्यामन॑श्नन्ज॒पति स विद्या॑वान्भ॒वति।
95,106,P0003_L0024_S0056,371200.0,375600.0,4400.0,98.68793999999998,0.484789,इत्यथर्व॑णवा॒क्यम्।
96,107,P0003_L0025_S0057,375600.0,380400.0,4800.0,231.11520000000002,0.487633,ब्रह्माद्यावर॑णं वि॒द्यान्न बिभेति कदा॑चने॒ति॥
97,109,P0003_L0026_S0059,380400.0,386400.0,6000.0,176.74480800000003,0.387969,यो दूर्वाङ्कु॑रैर्य॒जति स वैश्रवणोप॑मो भ॒वति।
98,110,P0003_L0027_S0060,386400.0,394400.0,8000.0,151.14414,0.422147,यो ला॑जैर्य॒जति स यशो॑वान्भ॒वति।
99,111,P0003_L0027_S0061,394400.0,399600.0,5200.0,82.94055,0.474983,स मेधा॑वान्भ॒वति।
100,112,P0004_L0001_S0001,399600.0,405200.0,5600.0,227.11065600000003,0.454467,यो मोदकसहस्रे॑ण य॒जति स वाञ्छितफलम॑वाप्नो॒ति।
101,113,P0004_L0002_S0002,405200.0,408400.0,3200.0,266.96565,0.469843,यः साज्य समि॑द्भिर्य॒जति स सर्वं लभते स स॑र्वं ल॒भते॥
102,115,P0004_L0003_S0004,408400.0,414976.0,6576.0,244.61472000000003,0.569185,अष्टौ ब्राह्मणान्सम्यग्ग्रा॑हयि॒त्वा सूर्यवर्च॑स्वी भ॒वति।
103,116,P0004_L0004_S0005,414976.0,421600.0,6624.0,260.14930285714286,0.403858,सूर्यग्रहे म॑हान॒द्यां प्रतिमासन्निधौ वा ज॒प्त्वा सिद्धम॑न्त्रो भ॒वति।
104,117,P0004_L0005_S0006,421600.0,426176.0,4576.0,104.52947999999998,0.518797,महाविघ्ना᳚त्प्रमु॒च्यते।
105,118,P0004_L0005_S0007,426176.0,429264.0,3088.0,102.95904,0.51519,महादोषा᳚त्प्रमु॒च्यते।
